4|"April"||||||||||||||"14177670"|"148597176"
8|"August"||||||||||||||"14177670"|"148597177"
12|"December"||||||||||||||"14177670"|"148597178"
2|"February"||||||||||||||"14177670"|"148597179"
1|"January"||||||||||||||"14177670"|"148597180"
7|"July"||||||||||||||"14177670"|"148597181"
6|"June"||||||||||||||"14177670"|"148597182"
3|"March"||||||||||||||"14177670"|"148597183"
5|"May"||||||||||||||"14177670"|"148597184"
11|"November"||||||||||||||"14177670"|"148597185"
10|"October"||||||||||||||"14177670"|"148597186"
9|"September"||||||||||||||"14177670"|"148597187"
4|"April"|"None"|||||||||||||"14203091"|"148902168"
8|"August"|"None"|||||||||||||"14203091"|"148902169"
12|"December"|"None"|||||||||||||"14203091"|"148902170"
2|"February"|"None"|||||||||||||"14203091"|"148902171"
1|"January"|"None"|||||||||||||"14203091"|"148902172"
7|"July"|"None"|||||||||||||"14203091"|"148902173"
6|"June"|"None"|||||||||||||"14203091"|"148902174"
3|"March"|"None"|||||||||||||"14203091"|"148902175"
5|"May"|"None"|||||||||||||"14203091"|"148902176"
11|"November"|"None"|||||||||||||"14203091"|"148902177"
10|"October"|"None"|||||||||||||"14203091"|"148902178"
9|"September"|"None"|||||||||||||"14203091"|"148902179"
4|"April"|"None"|||||||||||||"14203094"|"148902204"
8|"August"|"None"|||||||||||||"14203094"|"148902205"
12|"December"|"None"|||||||||||||"14203094"|"148902206"
2|"February"|"None"|||||||||||||"14203094"|"148902207"
1|"January"|"None"|||||||||||||"14203094"|"148902208"
7|"July"|"None"|||||||||||||"14203094"|"148902209"
6|"June"|"None"|||||||||||||"14203094"|"148902210"
3|"March"|"None"|||||||||||||"14203094"|"148902211"
5|"May"|"None"|||||||||||||"14203094"|"148902212"
11|"November"|"None"|||||||||||||"14203094"|"148902213"
10|"October"|"None"|||||||||||||"14203094"|"148902214"
9|"September"|"None"|||||||||||||"14203094"|"148902215"
4|"April"|"Frequent"|"Brief (2 to 7 days)"||||||||||||"14203090"|"148902156"
8|"August"|"None"|||||||||||||"14203090"|"148902157"
12|"December"|"Frequent"|"Brief (2 to 7 days)"||||||||||||"14203090"|"148902158"
2|"February"|"Frequent"|"Brief (2 to 7 days)"||||||||||||"14203090"|"148902159"
